Collated Components:,,,,,
,,,,,
Item,Qty,Part Number,Reference(s),Value,Notes:
1,1,K104K10X7RF5UH5,C1,0.1 uF,
2,2,TAP105K035CCS,"C2, C3",1uF,
3,1,TAP475K035CCS,C4,4.7uF,
4,1,K474Z20Y5VF5TH5,C5,0.47 uF,
5,4,,"D1, D2, D3, D4",<<LED Board>>,
6,1,,J1,Conn_01x06_Male,
7,3,,"J2, J3, J4",Conn_01x02,
8,2,,"JP1A1, JP1B1",Conn_01x03,
9,1,,JP2,RegJumper,
10,2,PN2222A PBFREE,"Q1, Q2",PN2222A,
11,6,BD139-16,"Q3, Q4, Q5, Q6, Q7, Q8",BD139-16,
12,1,CF18JT3K30,R1,3300,For Optional Regulator at 12 V
13,1,CF14JT390R,R2,390,For Optional Regulator at 12 V
14,1,CF18JT10K0,R3,10K,
15,1,CF18JT180R,R4,180,Values May Change depending on LEDs
16,1,CF18JT1K80,R5,1.8K,Values May Change depending on LEDs
17,1,CF18JT22K0,R6,22K,Values May Change depending on LEDs
18,1,CF18JT33K0,R7,33K,
19,1,CF18JT330K,R8,330K,
20,4,CF14JT330R,"R9, R10, R11, R13",82.5 / 1W,Values May Change depending on LEDs
21,5,CF14JT15R0,"R12, R14, R15, R16, R17",15 1/4W,Values May Change depending on LEDs
22,1,LM317KCT,U1,LM317_TO-220,Optional Regulator
,,,,,
,,,,,
,,,,,
,,,,,
